target_id	model_id	TP	FP	P	N	precision	recall	FPR	F1	F2	F05	BA	EF	uniq_features	max_dist	features
cdk8	t2_f6_p1	83	79	94	133	0.512	0.883	0.594	0.648	0.771	0.559	0.644	1.237	3	5.121	aaAHH
cdk8	centroids_f5_p0	65	60	94	134	0.52	0.691	0.448	0.594	0.649	0.547	0.622	1.261	3	8.817	aAAH
cdk8	centroids_f5_p2	62	38	94	134	0.62	0.66	0.284	0.639	0.651	0.628	0.688	1.504	3	7.347	aDAH
cdk8	centroids_f5_p1	54	55	94	134	0.495	0.574	0.41	0.532	0.557	0.509	0.582	1.202	3	9.739	aAHH
cdk8	t2_f6_p0	40	61	94	133	0.396	0.426	0.459	0.41	0.419	0.402	0.483	0.956	3	3.529	aaAHH
cdk8	t1_f7_p9	39	4	94	131	0.907	0.415	0.031	0.569	0.465	0.733	0.692	2.171	4	9.317	aaDAHH
cdk8	t1_f7_p2	38	12	94	131	0.76	0.404	0.092	0.528	0.446	0.646	0.656	1.819	4	8.928	aaAAHH
cdk8	t1_f7_p0	36	11	94	131	0.766	0.383	0.084	0.511	0.426	0.638	0.65	1.833	4	8.883	aaAAHH
cdk8	t1_f7_p1	35	4	94	131	0.897	0.372	0.031	0.526	0.422	0.7	0.671	2.148	4	9.341	aaDAHH
cdk8	t1_f7_p5	35	4	94	131	0.897	0.372	0.031	0.526	0.422	0.7	0.671	2.148	4	9.102	aaDAHH
cdk8	t1_f7_p8	35	4	94	131	0.897	0.372	0.031	0.526	0.422	0.7	0.671	2.148	4	9.323	aaDAHH
cdk8	t1_f7_p13	34	2	94	131	0.944	0.362	0.015	0.523	0.413	0.714	0.673	2.261	4	7.704	aaDHHH
cdk8	t1_f7_p6	34	2	94	131	0.944	0.362	0.015	0.523	0.413	0.714	0.673	2.261	4	7.919	aaDHHH
cdk8	t1_f7_p10	33	2	94	131	0.943	0.351	0.015	0.512	0.401	0.705	0.668	2.257	4	7.927	aaDHHH
cdk8	t1_f7_p3	33	2	94	131	0.943	0.351	0.015	0.512	0.401	0.705	0.668	2.257	4	7.935	aaDHHH
cdk8	t1_f7_p11	32	4	94	131	0.889	0.34	0.031	0.492	0.388	0.672	0.655	2.128	4	6.593	aaAHHH
cdk8	t1_f7_p4	32	4	94	131	0.889	0.34	0.031	0.492	0.388	0.672	0.655	2.128	4	6.562	aaAHHH
cdk8	t1_f7_p7	32	5	94	131	0.865	0.34	0.038	0.489	0.387	0.661	0.651	2.07	4	9.421	aaDAHH
cdk8	centroids_f5_p3	28	37	94	134	0.431	0.298	0.276	0.352	0.317	0.395	0.511	1.045	3	7.512	aHHH
cdk8	t3_f8_p0	26	1	94	133	0.963	0.277	0.008	0.43	0.323	0.644	0.635	2.325	5	9.282	aaDAHHH
cdk8	t1_f7_p12	22	2	94	131	0.917	0.234	0.015	0.373	0.275	0.579	0.609	2.194	4	8.021	aaDAHH
cdk8	t0_f9_p0	11	2	94	130	0.846	0.117	0.015	0.206	0.141	0.377	0.551	2.016	5	5.565	aaaAAHHH
cdk8	t4_f9_p0	9	0	94	130	1.0	0.096	0.0	0.175	0.117	0.346	0.548	2.383	6	10.645	aaDAAHHH
cdk8	t0_f9_p1	8	2	94	130	0.8	0.085	0.015	0.154	0.104	0.299	0.535	1.906	5	5.55	aaaAAHHH
