target_id	model_id	TP	FP	P	N	precision	recall	FPR	F1	F2	F05	BA	EF	uniq_features	max_dist	features
cdk8	centroids_f6_p0	1	0	94	133	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.415	11	8.747	aaaDDDAAAAPHHHHH
cdk8	t0_f8_p0	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	9.997	aaaaDAAAAHHHHHH
cdk8	t0_f8_p1	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	10.326	aaaaDAAAAHHHHHH
cdk8	t0_f8_p2	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	9.997	aaaaDAAAAHHHHHH
cdk8	t0_f8_p3	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	9.997	aaaaDAAAAHHHHHH
cdk8	t0_f8_p4	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	10.326	aaaaDAAAAHHHHHH
cdk8	t0_f8_p5	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	10.326	aaaaDAAAAHHHHHH
cdk8	t0_f8_p6	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	11	9.997	aaaaDAAAAHHHHHH
cdk8	t1_f7_p0	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	11.037	aaDAAAAHHHH
cdk8	t1_f7_p1	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.676	aaDAAAAHHHH
cdk8	t1_f7_p10	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.719	aaDAAAAHHHH
cdk8	t1_f7_p11	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	11.007	aaDAAAAHHHH
cdk8	t1_f7_p12	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.383	aaDAAAAHHHH
cdk8	t1_f7_p13	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.392	aaDAAAAHHHH
cdk8	t1_f7_p14	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.732	aaDAAAAHHHH
cdk8	t1_f7_p15	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	11.271	aaDAAAAHHHH
cdk8	t1_f7_p16	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.732	aaDAAAAHHHH
cdk8	t1_f7_p2	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.423	aaDAAAAHHHH
cdk8	t1_f7_p3	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.676	aaDAAAAHHHH
cdk8	t1_f7_p4	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.668	aaDAAAAHHHH
cdk8	t1_f7_p5	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.739	aaDAAAAHHHH
cdk8	t1_f7_p6	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	11.007	aaDAAAAHHHH
cdk8	t1_f7_p7	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.423	aaDAAAAHHHH
cdk8	t1_f7_p8	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	10.719	aaDAAAAHHHH
cdk8	t1_f7_p9	1	0	94	130	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.383	9	11.436	aaDAAAAHHHH
cdk8	t2_f6_p0	1	0	94	132	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.404	7	10.275	aaaDAAHHHH
cdk8	t2_f6_p1	1	0	94	132	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.404	7	10.275	aaaDAAHHHH
cdk8	t3_f8_p0	1	0	94	132	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.404	10	10.867	aaaDDAAAHHHHH
cdk8	t3_f8_p1	1	0	94	132	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.404	10	10.917	aaaDDAAAHHHHH
cdk8	t3_f8_p2	1	0	94	132	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.404	10	10.855	aaaDDAAAHHHHH
cdk8	t4_f8_p0	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	12.436	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p1	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	12.921	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p10	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	11.867	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p11	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	11.442	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p12	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	12.921	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p13	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	11.442	aaaDDAAAAPHHHHHH
cdk8	t4_f8_p14	1	0	94	129	1.0	0.011	0.0	0.021	0.013	0.051	0.505	2.372	12	11.867	aaaDDAAAAPHHHHHH
