mol_id	cdk8
CHEMBL3799742	0.871
CHEMBL3797558	0.856
CHEMBL3798663	0.856
CHEMBL3797823	0.856
CHEMBL3797472	0.852
CHEMBL3408213	0.849
CHEMBL3799307	0.845
CHEMBL3797212	0.838
CHEMBL3800105	0.838
CHEMBL3797317	0.837
CHEMBL3797855	0.837
CHEMBL3797571	0.837
CHEMBL3798944	0.837
CHEMBL3800311	0.837
CHEMBL3798987	0.837
CHEMBL3799581	0.837
CHEMBL3798419	0.837
CHEMBL3799824	0.833
CHEMBL3798853	0.831
CHEMBL3799212	0.831
CHEMBL3798726	0.83
CHEMBL3800432	0.827
CHEMBL3799396	0.826
CHEMBL3799679	0.823
CHEMBL3798804	0.819
CHEMBL3798430	0.819
CHEMBL3798632	0.819
CHEMBL3799826	0.818
CHEMBL3800210	0.814
CHEMBL2006439	0.81
CHEMBL3798611	0.8
CHEMBL3798283	0.798
CHEMBL3800533	0.798
CHEMBL3799592	0.798
CHEMBL3798382	0.792
CHEMBL3800080	0.791
CHEMBL3798568	0.788
CHEMBL3799073	0.767
CHEMBL3827673	0.767
CHEMBL3798362	0.754
CHEMBL3799116	0.754
CHEMBL3797440	0.754
CHEMBL3800307	0.752
CHEMBL3797495	0.723
CHEMBL3798886	0.714
CHEMBL3800037	0.705
CHEMBL3798712	0.69
CHEMBL1969151	0.684
CHEMBL3798778	0.681
CHEMBL3798587	0.681
CHEMBL3828472	0.654
CHEMBL3775321	0.653
CHEMBL1986943	0.643
CHEMBL3827749	0.638
CHEMBL3827150	0.638
CHEMBL3827482	0.638
CHEMBL525191	0.636
CHEMBL2007574	0.62
CHEMBL267071	0.62
CHEMBL244378	0.62
CHEMBL3828553	0.619
CHEMBL1980178	0.613
CHEMBL1973720	0.613
CHEMBL1965702	0.613
CHEMBL3797656	0.611
CHEMBL3775562	0.611
CHEMBL3828209	0.611
CHEMBL1987261	0.609
CHEMBL1985723	0.609
CHEMBL3827699	0.608
CHEMBL3827118	0.603
CHEMBL3827774	0.598
CHEMBL3828116	0.598
CHEMBL1998432	0.596
CHEMBL1994438	0.596
CHEMBL3828637	0.595
CHEMBL3827944	0.586
CHEMBL3827983	0.577
CHEMBL3827683	0.575
CHEMBL3828310	0.572
CHEMBL3827023	0.572
CHEMBL3775317	0.572
CHEMBL3828575	0.571
CHEMBL1989043	0.566
CHEMBL572881	0.566
CHEMBL3775024	0.558
CHEMBL1992231	0.558
CHEMBL1983393	0.558
CHEMBL3828430	0.554
CHEMBL2001019	0.554
CHEMBL296468	0.551
CHEMBL1979690	0.545
CHEMBL1986666	0.545
CHEMBL3828084	0.539
CHEMBL3775123	0.538
CHEMBL3828120	0.538
CHEMBL477772	0.537
CHEMBL3827799	0.533
CHEMBL3827053	0.533
CHEMBL1974328	0.526
CHEMBL1980995	0.526
CHEMBL2005216	0.524
CHEMBL1988437	0.521
CHEMBL2002723	0.52
CHEMBL1982660	0.52
CHEMBL1968868	0.52
CHEMBL2003638	0.516
CHEMBL1236107	0.516
CHEMBL3775423	0.516
CHEMBL1996500	0.516
CHEMBL1991674	0.516
CHEMBL1983923	0.516
CHEMBL1976936	0.516
CHEMBL2003514	0.516
CHEMBL1983589	0.515
CHEMBL1971943	0.515
CHEMBL1977138	0.514
CHEMBL1992937	0.512
CHEMBL1972988	0.512
CHEMBL1994724	0.512
CHEMBL440084	0.512
CHEMBL1994669	0.512
CHEMBL3775535	0.512
