target	model_id	TP	FP	P	N	precision	recall	FPR	F1	F2	F05	BA	EF	uniq_features	max_dist	features
CHEMBL5719_example	t2_f6_p1	86	81	94	132	0.515	0.915	0.614	0.659	0.792	0.564	0.651	1.238	3	5.119	aaAHH
CHEMBL5719_example	t2_f6_p0	40	61	94	132	0.396	0.426	0.462	0.41	0.419	0.402	0.482	0.952	3	3.526	aaAHH
CHEMBL5719_example	t1_f7_p1	39	3	94	130	0.929	0.415	0.023	0.574	0.467	0.744	0.696	2.213	4	9.303	aaDAHH
CHEMBL5719_example	t1_f7_p12	39	4	94	130	0.907	0.415	0.031	0.569	0.465	0.733	0.692	2.161	4	9.321	aaDAHH
CHEMBL5719_example	t1_f7_p2	37	12	94	130	0.755	0.394	0.092	0.517	0.435	0.638	0.651	1.799	4	8.988	aaAAHH
CHEMBL5719_example	t1_f7_p10	36	4	94	130	0.9	0.383	0.031	0.537	0.433	0.709	0.676	2.145	4	9.099	aaDAHH
CHEMBL5719_example	t1_f7_p7	35	4	94	130	0.897	0.372	0.031	0.526	0.422	0.7	0.671	2.139	4	9.295	aaDAHH
CHEMBL5719_example	t1_f7_p0	35	13	94	130	0.729	0.372	0.1	0.493	0.413	0.612	0.636	1.738	4	8.855	aaAAHH
CHEMBL5719_example	t1_f7_p13	34	2	94	130	0.944	0.362	0.015	0.523	0.413	0.714	0.673	2.251	4	7.933	aaDHHH
CHEMBL5719_example	t1_f7_p3	34	2	94	130	0.944	0.362	0.015	0.523	0.413	0.714	0.673	2.251	4	7.899	aaDHHH
CHEMBL5719_example	t1_f7_p8	34	2	94	130	0.944	0.362	0.015	0.523	0.413	0.714	0.673	2.251	4	7.703	aaDHHH
CHEMBL5719_example	t1_f7_p16	33	2	94	130	0.943	0.351	0.015	0.512	0.401	0.705	0.668	2.247	4	7.704	aaDHHH
CHEMBL5719_example	t1_f7_p9	33	4	94	130	0.892	0.351	0.031	0.504	0.4	0.682	0.66	2.125	4	9.444	aaDAHH
CHEMBL5719_example	t1_f7_p15	32	3	94	130	0.914	0.34	0.023	0.496	0.389	0.684	0.659	2.179	4	9.427	aaDAHH
CHEMBL5719_example	t1_f7_p14	32	4	94	130	0.889	0.34	0.031	0.492	0.388	0.672	0.655	2.118	4	6.573	aaAHHH
