target_id	model_id	TP	FP	precision	FPR	recall	F1	F2	F05	BA	EF	num_uniq_F	max_edge	features
CHEMBL3717	tr2_pharm5_0	77	37	0.675	0.019	0.267	0.38299999999999995	0.304	0.517	0.624	5.4239999999999995	3	12.038323907674565	aaDHH
CHEMBL3717	tr3_pharm7_0	20	11	0.645	0.006	0.069	0.125	0.085	0.243	0.532	5.181	5	6.934868563094577	aaAAAHH
CHEMBL3717	tr3_pharm7_1	18	12	0.6	0.006	0.062	0.113	0.076	0.221	0.528	4.8180000000000005	5	6.947714780854909	aaAAAHH
CHEMBL3717	tr5_pharm9_0	18	4	0.818	0.002	0.062	0.11599999999999999	0.077	0.239	0.53	6.571000000000001	6	7.1796670905412165	aaaAAHHHH
CHEMBL3717	tr5_pharm9_1	16	4	0.8	0.002	0.055999999999999994	0.10400000000000001	0.068	0.217	0.527	6.425	6	7.654702200845344	aaaAAHHHH
CHEMBL3717	tr8_pharm9_2	16	1	0.941	0.001	0.055999999999999994	0.105	0.068	0.225	0.528	7.558	6	11.265521431175586	aaaDAHHHH
CHEMBL3717	tr8_pharm9_0	10	1	0.909	0.001	0.035	0.067	0.043	0.151	0.517	7.301	6	8.961890246923423	aaaDAHHHH
CHEMBL3717	tr8_pharm9_1	5	0	1.0	0.0	0.017	0.034	0.022000000000000002	0.081	0.509	8.031	6	9.074166216997801	aaaDAAHHH
CHEMBL3717	tr6_pharm9_1	0	12	0	0	0	0	0	0	0	0	6	10.287193177603546	aaaDDAHHH
CHEMBL3717	tr6_pharm9_2	0	7	0	0	0	0	0	0	0	0	6	10.287193177603546	aaaDDAHHH
CHEMBL3717	tr6_pharm9_0	0	12	0	0	0	0	0	0	0	0	6	10.287193177603546	aaaDDAHHH
CHEMBL3717	tr1_pharm4_0	128	87	0.595	0.044000000000000004	0.444	0.509	0.46799999999999997	0.557	0.7	4.781000000000001	3	7.56752013417263	aAAH
CHEMBL3717	tr4_pharm10_0	22	0	1.0	0.0	0.076	0.142	0.094	0.293	0.5379999999999999	8.031	6	16.909439844996555	aaaaAAHHHH
CHEMBL240	tr139_pharm10_0	3	0	1.0	0.0	0.002	0.003	0.002	0.008	0.501	2.263	6	11.265562303351862	aaaDAPHHHH
CHEMBL240	tr77_pharm10_0	2	0	1.0	0.0	0.001	0.002	0.001	0.006	0.501	2.263	7	14.08056749258343	aaAAAPHHHH
CHEMBL240	tr101_pharm7_0	114	24	0.826	0.011000000000000001	0.064	0.11900000000000001	0.079	0.245	0.527	1.87	4	10.684708509443723	aaAPHHH
CHEMBL240	tr40_pharm5_0	27	2	0.9309999999999999	0.001	0.015	0.03	0.019	0.07200000000000001	0.507	2.1069999999999998	4	5.3734155346018175	APHHH
CHEMBL240	tr40_pharm5_1	15	2	0.882	0.001	0.008	0.017	0.011000000000000001	0.040999999999999995	0.504	1.9969999999999999	4	15.415382971943588	aHHHH
CHEMBL240	tr249_pharm4_0	9	27	0.25	0.013000000000000001	0.005	0.01	0.006	0.023	0.496	0.5660000000000001	3	11.57187298330408	aAHH
CHEMBL240	tr84_pharm9_1	3	0	1.0	0.0	0.002	0.003	0.002	0.008	0.501	2.263	6	12.458149658647955	aaaAHHHHH
CHEMBL240	tr84_pharm9_0	2	0	1.0	0.0	0.001	0.002	0.001	0.006	0.501	2.263	6	12.399224110738375	aaaAHHHHH
CHEMBL240	tr196_pharm8_0	4	2	0.667	0.001	0.002	0.004	0.003	0.011000000000000001	0.501	1.5090000000000001	5	10.931694995767668	aaaDAHHH
CHEMBL240	tr22_pharm9_0	27	1	0.9640000000000001	0.0	0.015	0.03	0.019	0.07200000000000001	0.507	2.1830000000000003	6	12.67214935997429	aaAAPHHHH
CHEMBL240	tr22_pharm9_1	10	0	1.0	0.0	0.006	0.011000000000000001	0.006999999999999999	0.027999999999999997	0.503	2.263	6	12.749280141182494	aaAAPHHHH
CHEMBL240	tr20_pharm7_1	9	6	0.6	0.003	0.005	0.01	0.006	0.025	0.501	1.358	5	18.131008342062735	aaDAHHH
CHEMBL240	tr20_pharm7_0	6	4	0.6	0.002	0.003	0.006999999999999999	0.004	0.017	0.501	1.358	5	18.131008342062735	aaDDHHH
CHEMBL240	tr20_pharm7_2	2	2	0.5	0.001	0.001	0.002	0.001	0.006	0.5	1.1320000000000001	5	17.250874118494412	aaAAHHH
CHEMBL240	tr28_pharm6_0	40	77	0.342	0.036000000000000004	0.023	0.042	0.027999999999999997	0.08900000000000001	0.493	0.774	3	8.35566434806227	aDAPHH
CHEMBL240	tr3_pharm7_2	14	17	0.452	0.008	0.008	0.016	0.01	0.037000000000000005	0.5	1.022	4	15.623084609786954	aaDAPHH
CHEMBL240	tr3_pharm7_3	12	13	0.48	0.006	0.006999999999999999	0.013000000000000001	0.008	0.032	0.5	1.0859999999999999	4	15.19943597510453	aaAPHHH
CHEMBL240	tr3_pharm7_4	10	14	0.41700000000000004	0.006999999999999999	0.006	0.011000000000000001	0.006999999999999999	0.027000000000000003	0.5	0.943	4	17.767079479856488	aaAPHHH
CHEMBL240	tr3_pharm7_1	9	18	0.33299999999999996	0.008	0.005	0.01	0.006	0.024	0.498	0.754	4	14.129121337661786	aaDAPHH
CHEMBL240	tr3_pharm7_5	6	14	0.3	0.006999999999999999	0.003	0.006999999999999999	0.004	0.016	0.498	0.679	4	14.87355752948755	aaAAPHH
CHEMBL240	tr3_pharm7_0	1	3	0.25	0.001	0.001	0.001	0.001	0.003	0.5	0.5660000000000001	5	12.75488537993687	aDAAPHH
CHEMBL240	tr2_pharm11_0	14	21	0.4	0.01	0.008	0.015	0.01	0.037000000000000005	0.499	0.905	8	9.876602357993427	aaaDAAAPHHH
CHEMBL240	tr2_pharm11_2	14	16	0.467	0.008	0.008	0.016	0.01	0.037000000000000005	0.5	1.056	8	9.375685901384582	aaaDAAAPHHH
CHEMBL240	tr2_pharm11_3	13	15	0.46399999999999997	0.006999999999999999	0.006999999999999999	0.013999999999999999	0.009000000000000001	0.035	0.5	1.051	8	9.88344171787816	aaaDAAAPHHH
